,Unnamed: 0,number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,Unnamed: 0.1,distance,datetime,date,time,lat,lng
1056,75.0,110.0,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,"{'lat': 53.356307, 'lng': -6.273717}",FALSE,FALSE,40,31,9,OPEN,1619165475000,75.0,,,,,,
1057,76.0,12.0,dublin,ECCLES STREET,Eccles Street,"{'lat': 53.359246, 'lng': -6.269779}",FALSE,FALSE,20,15,5,OPEN,1619165503000,76.0,,,,,,
1058,77.0,34.0,dublin,PORTOBELLO HARBOUR,Portobello Harbour,"{'lat': 53.330362, 'lng': -6.265163}",FALSE,FALSE,30,22,7,OPEN,1619165464000,77.0,,,,,,
1059,78.0,78.0,dublin,MATER HOSPITAL,Mater Hospital,"{'lat': 53.359967, 'lng': -6.264828}",FALSE,FALSE,40,26,14,OPEN,1619165482000,78.0,,,,,,
1060,79.0,2.0,dublin,BLESSINGTON STREET,Blessington Street,"{'lat': 53.356769, 'lng': -6.26814}",FALSE,FALSE,20,19,1,OPEN,1619165256000,79.0,,,,,,
1061,80.0,75.0,dublin,JAMES STREET,James Street,"{'lat': 53.343456, 'lng': -6.287409}",FALSE,FALSE,40,34,6,OPEN,1619165119000,80.0,,,,,,
1062,81.0,111.0,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,"{'lat': 53.356717, 'lng': -6.256359}",FALSE,FALSE,40,24,15,OPEN,1619165503000,81.0,,,,,,
1063,82.0,26.0,dublin,MERRION SQUARE WEST,Merrion Square West,"{'lat': 53.339764, 'lng': -6.251988}",FALSE,FALSE,20,13,7,OPEN,1619165428000,82.0,,,,,,
1064,83.0,65.0,dublin,CONVENTION CENTRE,Convention Centre,"{'lat': 53.34744, 'lng': -6.238523}",FALSE,FALSE,40,32,8,OPEN,1619165365000,83.0,,,,,,
1065,84.0,15.0,dublin,HARDWICKE STREET,Hardwicke Street,"{'lat': 53.355473, 'lng': -6.264423}",FALSE,FALSE,16,16,0,OPEN,1619165314000,84.0,,,,,,
1066,85.0,86.0,dublin,PARKGATE STREET,Parkgate Street,"{'lat': 53.347972, 'lng': -6.291804}",FALSE,FALSE,38,23,15,OPEN,1619165030000,85.0,,,,,,
1067,86.0,10.0,dublin,DAME STREET,Dame Street,"{'lat': 53.344007, 'lng': -6.266802}",FALSE,FALSE,16,12,4,OPEN,1619165387000,86.0,,,,,,
1068,87.0,100.0,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),"{'lat': 53.347106, 'lng': -6.292041}",FALSE,FALSE,25,14,9,OPEN,1619165078000,87.0,,,,,,
1069,88.0,24.0,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,"{'lat': 53.352149, 'lng': -6.260533}",FALSE,FALSE,20,0,20,OPEN,1619164953000,88.0,,,,,,
1070,89.0,64.0,dublin,SANDWITH STREET,Sandwith Street,"{'lat': 53.345203, 'lng': -6.247163}",FALSE,FALSE,40,25,15,OPEN,1619165046000,89.0,,,,,,
1071,90.0,109.0,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,"{'lat': 53.353331, 'lng': -6.249319}",FALSE,FALSE,29,20,9,OPEN,1619165433000,90.0,,,,,,
1072,91.0,85.0,dublin,ROTHE ABBEY,Rothe Abbey,"{'lat': 53.338776, 'lng': -6.30395}",FALSE,FALSE,35,25,9,OPEN,1619165468000,91.0,,,,,,
1073,92.0,107.0,dublin,CHARLEVILLE ROAD,Charleville Road,"{'lat': 53.359157, 'lng': -6.281866}",FALSE,FALSE,40,29,11,OPEN,1619165539000,92.0,,,,,,
1074,93.0,33.0,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,"{'lat': 53.349013, 'lng': -6.260311}",FALSE,FALSE,23,10,13,OPEN,1619165279000,93.0,,,,,,
1075,94.0,44.0,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,"{'lat': 53.358437, 'lng': -6.260641}",FALSE,FALSE,30,14,16,OPEN,1619165364000,94.0,,,,,,
1076,95.0,89.0,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,"{'lat': 53.335211, 'lng': -6.2509}",FALSE,FALSE,40,32,8,OPEN,1619165536000,95.0,,,,,,
1077,96.0,57.0,dublin,GRATTAN STREET,Grattan Street,"{'lat': 53.339629, 'lng': -6.243778}",FALSE,FALSE,23,19,4,OPEN,1619165536000,96.0,,,,,,
1078,97.0,80.0,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),"{'lat': 53.341359, 'lng': -6.292951}",FALSE,FALSE,40,16,23,OPEN,1619165528000,97.0,,,,,,
1079,98.0,41.0,dublin,HARCOURT TERRACE,Harcourt Terrace,"{'lat': 53.332763, 'lng': -6.257942}",FALSE,FALSE,20,12,8,OPEN,1619165530000,98.0,,,,,,
